itemCode,itemName,unit,size,tickness,color,type,quantity,cratedAt,assetType
MGT.C.A.1,"45 gm , Paper ",Rim,61*86 ,,white,,17,2023-07-12T07:47:52.120+00:00,current
MGT.C.A.2,"45 gm , Paper ",sheet,61*86 ,,white,,300,2023-07-12T07:47:52.120+00:01,current
MGT.C.A.3,"45 gm , Paper (Local )",Rim,61*86 ,,white,,2,2023-07-12T07:47:52.120+00:02,current
MGT.C.A.4,"45 gm , Paper , Local",sheet,61*86 ,,white,,241,2023-07-12T07:47:52.120+00:03,current
MGT.C.A.5,"45 gm , Paper , Imported",sheet,61*86 ,,white,,262,2023-07-12T07:47:52.120+00:04,current
MGT.C.A.6,"45 gm , Paper , Local",sheet,61*86 ,,white,,331,2023-07-12T07:47:52.120+00:05,current
MGT.C.A.7,"45 gm , Paper , Local",Rim,61*86 ,,white,,1,2023-07-12T07:47:52.120+00:06,current
MGT.C.A.8,"80 gm , Paper , ",Rim,61*86 ,,white,,3,2023-07-12T07:47:52.120+00:07,current
MGT.C.A.9,"80 gm , Paper , ",Sheet,61*86 ,,white,,102,2023-07-12T07:47:52.120+00:08,current
MGT.C.A.11,"60gm , Paper , ",Sheet,61*86 ,,white,,68,2023-07-12T07:47:52.120+00:09,current
MGT.C.A.12,"60gm , Paper , ",Rim,61*86 ,,white,,1,2023-07-12T07:47:52.120+00:10,current
MGT.C.A.13,"60gm , Paper , ",Sheet,61*86 ,,white,,320,2023-07-12T07:47:52.120+00:11,current
MGT.C.A.14,"180gm , card /manela",Rim,61*86 ,,white,,20,2023-07-12T07:47:52.120+00:12,current
MGT.C.A.15,"180gm , Paper , ",Sheet,61*86 ,,white,,68,2023-07-12T07:47:52.120+00:13,current
MGT.C.A.16,"45 gm , Paper , Local",Rim,61*86 ,,Pink,,1,2023-07-12T07:47:52.120+00:14,current
MGT.C.A.17,"45 gm , Paper , Local",sheet,61*86 ,,pink,,125,2023-07-12T07:47:52.120+00:15,current
MGT.C.A.18,"45 gm , Paper , Imported",Rim,61*86 ,,Pink,,2,2023-07-12T07:47:52.120+00:16,current
MGT.C.A.19,"45 gm , Paper , Imported",sheet,61*86 ,,pink,,303,2023-07-12T07:47:52.120+00:17,current
MGT.C.A.20,"180gm , card /manela",Rim,61*86 ,,Pink,,23,2023-07-12T07:47:52.120+00:18,current
MGT.C.A.21,"180gm , card /manela",Sheet,61*86 ,,Pink,,75,2023-07-12T07:47:52.120+00:19,current
MGT.C.A.22,"45 gm , Paper , Local",Sheet,61*86 ,,Dreen,,202,2023-07-12T07:47:52.120+00:20,current
MGT.C.A.23,"45 gm , Paper ",Rim,61*86 ,,Green,,2,2023-07-12T07:47:52.120+00:21,current
MGT.C.A.24,"45 gm , Paper , Imported",Rim,61*86 ,,Yellow,,2,2023-07-12T07:47:52.120+00:22,current
MGT.C.A.25,"180gm , card /manela",Rim,61*86 ,,Yellow,,30,2023-07-12T07:47:52.120+00:23,current
MGT.C.A.26,"180gm , card /manela",Sheet,61*86 ,,Yellow,,78,2023-07-12T07:47:52.120+00:24,current
MGT.C.A.27,"180gm , card /manela",Rim,70*100,,Yellow,,1,2023-07-12T07:47:52.120+00:25,current
MGT.C.A.28,"180gm , card /manela",Rim,70*100,,Green,,19,2023-07-12T07:47:52.120+00:26,current
MGT.C.A.29,"180gm , card /manela",Sheet,70*100,,Green,,15,2023-07-12T07:47:52.120+00:27,current
MGT.C.A.30,"240gm , card/manela",Rim,70*100,,Green,,1,2023-07-12T07:47:52.120+00:28,current
MGT.C.A.31,"240gm , card/manela",Rim,70*100,,Pink,,48,2023-07-12T07:47:52.120+00:29,current
MGT.C.A.32,"240gm , card/manela",Sheet,70*100,,Pink,,90,2023-07-12T07:47:52.120+00:30,current
MGT.C.A.33,250 gm Duplex,Rim,70*100,,white,,1,2023-07-12T07:47:52.120+00:31,current
MGT.C.A.34,350 gm Duplex,Rim,70*100,,white,,1,2023-07-12T07:47:52.120+00:32,current
MGT.C.A.35,350 gm Duplex,Sheet,70*100,,white,,48,2023-07-12T07:47:52.120+00:33,current
MGT.C.A.36,"Balacron ( ID Card ), Paper",Sheet,70*100,,Light Red,,12,2023-07-12T07:47:52.120+00:34,current
MGT.C.A.37,Filling  Paper ( ???? ),Sheet,70*10,,Brown,,23,2023-07-12T07:47:52.120+00:35,current
MGT.C.A.38,100gm  Art Paper ,Rim,61*86,,white,,1.5,2023-07-12T07:47:52.120+00:36,current
