itemName,itemCode,unit,quantity,type,color,unitPrice,TotalPrice,Respons,Remark,cratedAt,assetType
Polar Mohr Electromet90,MGT F.A  01,pcs,1,cutting,,"600,000","600,000",,,2023-07-12T07:47:52.120+00:00,fixed
 kord  Heid leberg,MGT F.A 02,pcs,1,pritning,,"600,000",600000,,,2023-07-12T07:47:52.120+00:01,fixed
Platina /letter press/,MGT F.A 03,pcs,2,,,"150,000",300000,,,2023-07-12T07:47:52.120+00:02,fixed
Copy mat /Film  bunner/Manual ,MGT F.A 04,pcs,1,,,,,,,2023-07-12T07:47:52.120+00:03,fixed
Copy mat /Film  bunner/Authomatic,MGT F.A 05,pcs,1,,,"50,000",50000,,,2023-07-12T07:47:52.120+00:04,fixed
stand drill,MGT F.A 06,pcs,1,ZJS 116,,"35,000",35000,,,2023-07-12T07:47:52.120+00:05,fixed
solventPrint/ Banner Machine,MGT F.A 07,pcs,1,,,"900,000",900000,,,2023-07-12T07:47:52.120+00:06,fixed
Vinylcutting plotter,MGT F.A 08,pcs,1,,,75000,75000,Office,,2023-07-12T07:47:52.120+00:07,fixed
Lezar cutting ,MGT F.A 09,pcs,1,,,"800,000",800000,,,2023-07-12T07:47:52.120+00:08,fixed
CNC Router,MGT F.A 10,pcs,1,,,"900,000",900000,,,2023-07-12T07:47:52.120+00:09,fixed
AIR compressor  300 Liter,MGT F.A 11,pcs,1,YL100L-2,,"120,000",120000,Abera,,2023-07-12T07:47:52.120+00:10,fixed
 Heat press,MGT F.A 12,pcs,2,,,16000,32000,Office,,2023-07-12T07:47:52.120+00:11,fixed
Riso  A3,MGT F.A 13,pcs,1,,,"120,000",120000,,,2023-07-12T07:47:52.120+00:12,fixed
Laptop Lenevo,MGT F.A 14,pcs,1,,,"75,000",75000,,,2023-07-12T07:47:52.120+00:13,fixed
Computer  DELL,MGT F.A 15,pcs,3,,,"75,000",225000,,,2023-07-12T07:47:52.120+00:14,fixed
Perofvetrg /,MGT F.A 16,pcs,1,,,"180,000","18,000",,,2023-07-12T07:47:52.120+00:15,fixed
Digitaly  machine   T-shert,MGT F.A 17,pcs,1,,,16000,16000,,,2023-07-12T07:47:52.120+00:16,fixed
Hand Router,MGT F.A 18,pcs,1,,,7000,7000,,,2023-07-12T07:47:52.120+00:17,fixed
Authomatic Hand Drill,MGT F.A 19,pcs,1,,,5000,5000,,,2023-07-12T07:47:52.120+00:18,fixed
Impact  Drill   1010 W,MGT F.A 20,pcs,1,,,"45,000",45000,,,2023-07-12T07:47:52.120+00:19,fixed
 metal  cutter,MGT F.A 21,pcs,1,,,"45,000",45000,,,2023-07-12T07:47:52.120+00:20,fixed
Router  Hand,MGT F.A 22,pcs,1,,,7500,7500,,,2023-07-12T07:47:52.120+00:21,fixed
Jigso,MGT F.A 23,pcs,1,,,3500,3500,,,2023-07-12T07:47:52.120+00:22,fixed
Incco  Angle  Grinder 2400W,MGT F.A 24,pcs,2,,,9000,9000,,,2023-07-12T07:47:52.120+00:23,fixed
Makite  Angle Grinder 130mm(7),MGT F.A 25,pcs,1,,,9000,9000,,,2023-07-12T07:47:52.120+00:24,fixed
Welding  SHYU 380.v,MGT F.A 26,pcs,1,,,"35,000",35000,,,2023-07-12T07:47:52.120+00:25,fixed
Welding BenQi 380v.220,MGT F.A 27,pcs,1,,,"25,000","25,000",,,2023-07-12T07:47:52.120+00:26,fixed
Wido  small machine ,MGT F.A 28,pcs,1,,,7500,7500,,,2023-07-12T07:47:52.120+00:27,fixed
Ye Almuneyem cutter ,MGT F.A 29,pcs,1,,,"25,000","25,000",,,2023-07-12T07:47:52.120+00:28,fixed
AIR compressor,MGT F.A 30,pcs,1,,,13000,13000,,,2023-07-12T07:47:52.120+00:29,fixed
Bosch     cutter,MGT F.A 31,pcs,1,,,7500,7500,,,2023-07-12T07:47:52.120+00:30,fixed
Chain   Blocks,MGT F.A 32,pcs,1,,,"15,000",15000,,,2023-07-12T07:47:52.120+00:31,fixed
  T-shert  Router  Machine,MGT F.A 33,pcs,1,,,"40,000","40,000",,,2023-07-12T07:47:52.120+00:32,fixed
Maselale/ Almuneym,MGT F.A 34,pcs,2,,,22000,44000,,,2023-07-12T07:47:52.120+00:33,fixed
